INN,Target.s.,Indications.of.clinical.studies,Record.category,Most.advanced.stage.of.development..global.
Begelomab,CD26,Graft-versus-host disease,Terminated,Regulatory review
Tusamitamab ravtansine,CEA,"Gastric cancer, non-squamous Non-small-cell Lung Cancer , Non-small cell lung cancer, solid tumors",Terminated,Phase 3
Rovalpituzumab tesirine,DLL3,Small cell lung cancer,Terminated,Phase 3
Upanovimab,SARS-CoV-2 (spike protein),COVID-19,Terminated,Phase 2/3
Vadastuximab talirine,CD33,"Acute myeloid leukemia, Myelodysplastic Syndrome",Terminated,Phase 3
"Futuximab, modotuximab",EGFR,"Glioma, Lung cancer, Head and Neck cancers, Colorectal Cancer",Terminated,Phase 3
"Dafsolimab setaritox, grisnilimab setaritox","CD3, CD7",Graft vs host disease,Terminated,Phase 3
Otelixizumab,CD3,"Type 1 diabetes, psoriasis, Rheumatoid arthritis, transplant rejection",Terminated,Phase 3
Zilovertamab,ROR1,"Urothelial Carcinoma, Diffuse large B cell lymphoma, Mantle cell lymphoma, Chronic Lymphocytic Leukemia",Terminated,Phase 3
Oportuzumab monatox,EpCAM,"Bladder cancer, head and neck cancer",Terminated,Regulatory review
"Upinitatug rilsodotin, Upifitamab rilsodotin",NaPi2b,"Ovarian cancer, Cancers Likely to Express NaPi2b",Terminated,Phase 3
"Cosfroviximab, larcaviximab, porgaviximab",Ebola virus glycoprotein,Ebola infection,Terminated,Phase 2/3
Abagovomab,MUC16 idiotype,Ovarian cancer,Terminated,Phase 2/3
Belantamab mafodotin,BCMA,Multiple myeloma,Regulatory review,Regulatory review
Verenafusp alfa,Insulin receptor,Mucopolysaccharidosis Type II,Clinical,Phase 2/3
Vecantoxatug,Tetanus toxin,Tetanus prophylaxis,Clinical,Phase 3
