InteractorA,Relation,InteractorB,PMID
RUNX3,down-regulates-quantity-by-repression,CFLAR,17956589
MAPK14,up-regulates,CFLAR,19597496
ITCH,down-regulates-quantity,CFLAR,16469705
TBX5,up-regulates-quantity-by-expression,FGF10,18451335
IFNG,up-regulates-quantity-by-expression,SOCS1,19482358
CSF1R,up-regulates-quantity-by-expression,SOCS1,24890514
IRF1,up-regulates-quantity-by-expression,SOCS1,19482358
PTPN6,up-regulates,SOCS1,14551136
STAT1,up-regulates-quantity-by-expression,SOCS1,19482358
STAT6,up-regulates-quantity-by-expression,SOCS1,17093501
HOXD12,down-regulates-activity,MAFG,11036080
PRRX1,down-regulates-activity,MAFG,11036080
CUX2,up-regulates-activity,OGG1,26221032
TP53,up-regulates-quantity-by-expression,OGG1,16293709
NFYA,up-regulates-quantity-by-expression,OGG1,14688259
PDPK1,up-regulates-activity,PDPK1,11481331
PDPK1,unknown,PDPK1,10455013
PDPK1,unknown,PDPK1,10455013
PDPK1,unknown,PDPK1,10455013
PDPK1,down-regulates-quantity-by-destabilization,PDPK1,12177059
PDPK1,unknown,PDPK1,10455013
RET,up-regulates-activity,PDPK1,12738763
IGF1R,up-regulates,PDPK1,20643654
IGF1R,up-regulates,PDPK1,20044479
IGF1R,up-regulates,PDPK1,20044479
IGF1R,up-regulates,PDPK1,20643654
SRC,up-regulates-activity,PDPK1,11481331
SRC,up-regulates,PDPK1,20643654
SRC,up-regulates,PDPK1,20643654
HOXC13,up-regulates-quantity-by-expression,FOXN1,21191399
GDNF,up-regulates-quantity-by-expression,PDPK1,15212950
PIK3CG,up-regulates,PDPK1,9768361
PPP2R2B,down-regulates-activity,PDPK1,21075311
ARNTL,up-regulates-quantity-by-expression,PER1,22750052
CLOCK,up-regulates-quantity-by-expression,PER1,22750052
NR3C1,up-regulates-quantity-by-expression,PER1,19805059
CSNK1D,down-regulates-quantity-by-destabilization,PER1,11865049
CSNK1D,down-regulates-quantity-by-destabilization,PER1,11165242
CSNK1E,down-regulates-quantity-by-destabilization,PER1,11865049
CSNK1E,down-regulates,PER1,15917222
CSNK1G2,down-regulates,PER1,15917222
NFIL3,down-regulates-quantity-by-repression,PER1,11316793
TNPO1,up-regulates-activity,PER1,29377895
FBXW11,down-regulates,PER1,15917223
BTRC,down-regulates,PER1,15917223
CRX,up-regulates-quantity-by-expression,RS1,18927113
NOTCH1,up-regulates-quantity-by-expression,FABP7,16554461
PRKACA,unknown,CLDN3,15905176
NME2,up-regulates,KCNN4,18796614
NME2,up-regulates,KCNN4,17157250
CDK1,up-regulates-activity,RNMT,26942677
KPNA2,down-regulates-activity,RNMT,26942677
RAMAC,up-regulates-activity,RNMT,27422871
CSNK2A1,down-regulates,TTI1,23263282
SEMA4D,up-regulates,PLXNB1,12198496
SP1,up-regulates-quantity-by-expression,PHGDH,18378410
NFYA,up-regulates-quantity-by-expression,PHGDH,18378410
NFYB,up-regulates-quantity-by-expression,PHGDH,18378410
HOXA10,down-regulates-quantity-by-repression,PHGDH,19778996
NFYC,up-regulates-quantity-by-expression,PHGDH,18378410
ATXN7,down-regulates-activity,CRX,11580893
SP1,up-regulates-activity,CRX,15781457
SP4,up-regulates-activity,CRX,15781457
FIZ1,down-regulates-activity,CRX,12566383
MLN,up-regulates,MLNR,10381885
AREL1,down-regulates-quantity-by-destabilization,SEPTIN4,23479728
FHIT,down-regulates-quantity-by-repression,BIRC5,18077326
KDM6A,up-regulates-quantity-by-expression,HOXC11,24561908
MAPK1,unknown,RBFOX2,22028470
DYRK2,up-regulates,SIAH2,22878263
DYRK2,up-regulates,SIAH2,22878263
DYRK2,up-regulates,SIAH2,22878263
DYRK2,up-regulates,SIAH2,22878263
DYRK2,up-regulates,SIAH2,22878263
MAPK14,up-regulates,ZNHIT1,20473270
MAPK14,up-regulates,ZNHIT1,17380123
PIGS,up-regulates-activity,GPAA1,11483512
DAPK3,up-regulates,DAPK3,15611134
DAPK3,up-regulates,DAPK3,15611134
DAPK3,up-regulates,DAPK3,15611134
DAPK3,up-regulates,DAPK3,15611134
DAPK3,up-regulates,DAPK3,15611134
FYN,up-regulates-activity,TGFB1I1,10838081
PTK2B,up-regulates-activity,TGFB1I1,10838081
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CDK2,down-regulates-activity,CCP110,12361598
CCNF,down-regulates-quantity-by-destabilization,CCP110,20596027
NF1,up-regulates,ADCY6,24431436
GPHN,up-regulates-activity,ARHGEF9,25882190
TBX5,up-regulates-quantity-by-expression,MTSS1,20802524
PRKCZ,up-regulates,AQP9,21873454
PPP6C,down-regulates-activity,MAP3K7,17079228
PPP6C,down-regulates,MAP3K7,17079228
MAP3K7,up-regulates-activity,MAP3K7,10702308
MAP3K7,up-regulates-activity,MAP3K7,20538596
MAP3K7,up-regulates-activity,MAP3K7,20538596
MAP3K7,up-regulates-activity,MAP3K7,20538596
MAP3K7,up-regulates-activity,MAP3K7,20538596
SMAD6,down-regulates-activity,MAP3K7,11737269
MAP4K4,up-regulates,MAP3K7,10807933
BMPR1A,up-regulates-activity,MAP3K7,8533096
PPP2CA,down-regulates,MAP3K7,17079228
TRAF2,up-regulates-activity,MAP3K7,20038579
RIPK1,up-regulates-activity,MAP3K7,21133840
CAMK2G,up-regulates,MAP3K7,12482967
TAB1,up-regulates-activity,MAP3K7,8638164
TAB1,up-regulates-activity,MAP3K7,17299140
PDPK1,up-regulates-activity,PDPK1,10455013
TAB3,up-regulates-activity,MAP3K7,14670075
MAP4K1,up-regulates,MAP3K7,10224067
CYLD,up-regulates-activity,MAP3K7,29291351
TAB2,up-regulates-activity,MAP3K7,14670075
TAB2,up-regulates-activity,MAP3K7,8638164
TAB2,up-regulates-activity,MAP3K7,14633987
TRAF6,up-regulates-activity,MAP3K7,18758450
ERBB2,up-regulates-quantity-by-expression,MSI1,20443831
CCND1,up-regulates-quantity-by-expression,MSI1,20443831
RIPK2,up-regulates-activity,RIPK2,16824733
TNF,up-regulates-quantity-by-expression,RIPK2,18647246
IFNG,up-regulates-quantity-by-expression,RIPK2,18647246
NOD2,up-regulates-activity,RIPK2,17355968
HNRNPU,up-regulates-quantity-by-stabilization,HOXA2,17174306
CSNK2A1,up-regulates,PRPF3,17932117
GRID2IP,up-regulates-quantity,GRID2,11826110
PAK4,up-regulates-activity,SYNJ1,22371566
EPHB2,down-regulates,SYNJ1,15821731
PAK6,up-regulates-activity,SYNJ1,22371566
PAK5,up-regulates-activity,SYNJ1,22371566
CAMK1,unknown,EIF4G3,14507913
PNCK,up-regulates,EIF4G3,22514323
CAMK1G,up-regulates,EIF4G3,22514323
PITX2,down-regulates-quantity-by-repression,TBX1,20129917
ASH2L,up-regulates-activity,TBX1,20463296
CCAR2,down-regulates-activity,SUV39H1,26158765
AREL1,down-regulates-quantity-by-destabilization,HTRA2,23479728
AKT1,down-regulates,HTRA2,17311912
AKT2,down-regulates,HTRA2,17311912
CDK5,up-regulates,HTRA2,21701498
BAX,up-regulates,HTRA2,14585074
BAK1,up-regulates,HTRA2,14585074
BAK1,up-regulates,HTRA2,21210296
PINK1,up-regulates,HTRA2,17906618
CTNNB1,up-regulates-activity,KLF4,24482235
STAT6,up-regulates-quantity-by-expression,KLF4,22378047
STAT6,up-regulates-quantity-by-expression,KLF4,25934862
MAPK7,up-regulates-quantity-by-expression,KLF4,23612709
MYOCD,down-regulates,KLF4,21673106
MRTFA,down-regulates,KLF4,21673106
SRC,unknown,PROM1,19296573
SRC,unknown,PROM1,19296573
SP1,up-regulates-quantity-by-expression,CACNA1G,23868804
STAT4,up-regulates-activity,LAMTOR5,22740693
STAT6,up-regulates-quantity-by-expression,SLC26A4,24429829
PRKCQ,up-regulates-activity,WIPF1,12504004
FKBP15,up-regulates-activity,WIPF1,19121306
FOXO3,down-regulates-quantity-by-repression,BCL2L11,14981546
FOXO3,up-regulates-quantity-by-expression,BCL2L11,12913110
CDK1,up-regulates-activity,BCL2L11,22071694
MAPK3,down-regulates-quantity-by-destabilization,BCL2L11,15486195
MAPK1,down-regulates-quantity-by-destabilization,BCL2L11,15486195
AKT1,down-regulates-activity,BCL2L11,16282323
FLT3,down-regulates-quantity-by-repression,BCL2L11,14981546
MAPK8,up-regulates,BCL2L11,12591950
MAPK8,down-regulates,BCL2L11,18174237
MAPK8,up-regulates,BCL2L11,12591950
MAPK8,down-regulates-quantity-by-destabilization,BCL2L11,15486195
MAPK8,up-regulates-activity,BCL2L11,12818176
MAPK8,down-regulates-quantity-by-destabilization,BCL2L11,18174237
MAPK9,down-regulates-quantity-by-destabilization,BCL2L11,18174237
MAPK9,up-regulates-activity,BCL2L11,12818176
MAPK9,up-regulates-activity,BCL2L11,12818176
MAPK10,down-regulates-quantity-by-destabilization,BCL2L11,15486195
MAPK10,up-regulates-activity,BCL2L11,12818176
MAPK10,up-regulates,BCL2L11,18498746
MAPK10,up-regulates-activity,BCL2L11,12818176
FOXO1,up-regulates-quantity-by-expression,BCL2L11,12913110
MAPK14,down-regulates-quantity-by-destabilization,BCL2L11,15486195
MYC,down-regulates-quantity-by-repression,PRODH,22615405
EGLN3,up-regulates-quantity-by-stabilization,BCL2L11,31375625
EGLN3,up-regulates-quantity-by-stabilization,BCL2L11,31375625
SGK1,down-regulates-activity,FOXO3,11154281
SGK1,down-regulates-activity,FOXO3,11154281
SGK1,down-regulates-activity,FOXO3,11154281
IKBKB,down-regulates,FOXO3,19188143
IKBKB,down-regulates,FOXO3,15084260
CHUK,down-regulates,FOXO3,15084260
FOXS1,down-regulates-quantity-by-repression,FOXO3,18288644
NR3C1,up-regulates-quantity,FOXO3,22848740
PIM1,down-regulates-activity,FOXO3,18593906
PRLR,down-regulates-quantity-by-repression,FOXO3,17975019
MAPK3,down-regulates-quantity-by-destabilization,FOXO3,19282669
MAPK3,down-regulates-quantity-by-destabilization,FOXO3,19282669
MAPK3,down-regulates-quantity-by-destabilization,FOXO3,19282669
TEAD1,up-regulates-quantity-by-expression,FOXO3,21211055
MAPK1,down-regulates-quantity-by-destabilization,FOXO3,18204439
MAPK1,down-regulates-quantity-by-destabilization,FOXO3,18204439
MAPK1,down-regulates-quantity-by-destabilization,FOXO3,18204439
AKT1,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT1,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT1,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT1,down-regulates-activity,FOXO3,21798082
AKT1,down-regulates-activity,FOXO3,19188143
AKT1,down-regulates-activity,FOXO3,19188143
AKT1,down-regulates-activity,FOXO3,19188143
SPAG9,unknown,MAP3K7,22337877
AKT2,down-regulates-activity,FOXO3,19188143
AKT2,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT2,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT2,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT2,down-regulates-activity,FOXO3,19188143
AKT2,down-regulates-activity,FOXO3,19188143
CSNK1A1,down-regulates,FOXO3,20110348
CSNK1A1,down-regulates,FOXO3,20110348
PPP2CA,up-regulates,FOXO3,20110348
PPP2CA,up-regulates-activity,FOXO3,20110348
PPP2CA,up-regulates,FOXO3,20110348
STK4,up-regulates,FOXO3,18394876
STK4,up-regulates,FOXO3,22898666
PRKAA1,up-regulates-activity,FOXO3,17711846
PRKAA1,up-regulates-activity,FOXO3,17711846
PRKAA1,up-regulates-activity,FOXO3,17711846
PRKAA1,up-regulates-activity,FOXO3,17711846
PRKAA1,up-regulates-activity,FOXO3,17900900
PRKAA1,up-regulates-activity,FOXO3,17711846
PRKAA1,up-regulates-activity,FOXO3,17711846
HDAC1,up-regulates-activity,FOXO3,24463822
DYRK1A,down-regulates-activity,FOXO3,19188143
DYRK1A,down-regulates,FOXO3,19188143
IKBKE,down-regulates,FOXO3,23691078
MAPK14,up-regulates,FOXO3,22128155
SGK3,down-regulates-activity,FOXO3,11154281
SIRT1,down-regulates-activity,FOXO3,24003218
SIRT1,up-regulates-activity,FOXO3,14976264
EGLN2,down-regulates-activity,FOXO3,24990963
TSC22D3,down-regulates-activity,FOXO3,20018851
SETD2,up-regulates-quantity-by-expression,FOXO3,18158893
SGK2,down-regulates-activity,FOXO3,11154281
SGK2,down-regulates-activity,FOXO3,11154281
PPARGC1A,down-regulates-quantity-by-repression,FOXO3,20404331
BCL2,down-regulates,HTRA2,14585074
PPARGC1A,down-regulates,FOXO3,19491292
AKT3,down-regulates,FOXO3,19188143
AKT3,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT3,down-regulates-quantity-by-destabilization,FOXO3,19951971
AKT3,down-regulates,FOXO3,19188143
AKT3,down-regulates,FOXO3,19188143
AKT3,down-regulates-quantity-by-destabilization,FOXO3,19951971
MAPK8,up-regulates,BCL2L11,18498746
PRKCA,up-regulates-quantity,KCNQ2,12754513
PRKCA,up-regulates-activity,KCNQ2,12754513
UBE2O,down-regulates,SMAD6,23455153
SMURF1,down-regulates-activity,SMAD6,22298955
RAD51C,up-regulates-activity,XRCC3,23438602
ATR,up-regulates-activity,XRCC3,23438602
NTRK2,up-regulates-activity,FRS3,11432792
NTRK2,up-regulates-activity,FRS3,11432792
LCK,up-regulates,LAT,16938345
LCK,up-regulates,LAT,16938345
FYN,up-regulates,LAT,16938345
FYN,up-regulates,LAT,16938345
PTPN1,down-regulates-activity,LAT,12857726
PTPN1,down-regulates,LAT,12857726
MAPK3,down-regulates,LAT,15192708
ZAP70,up-regulates-activity,LAT,11368773
ZAP70,up-regulates-activity,LAT,11368773
ZAP70,up-regulates-activity,LAT,11368773
ZAP70,up-regulates-activity,LAT,11368773
ZAP70,up-regulates-activity,LAT,11368773
MAPK8,down-regulates,LAT,15192708
PTPRJ,down-regulates-activity,LAT,11259588
FOXO3,up-regulates-quantity,FOXO3,22848740
PRKACA,up-regulates-activity,RGS14,12534294
PRKACA,up-regulates-activity,RGS14,12534294
ABL1,up-regulates-activity,PSTPIP1,11163214
ABL1,unknown,PSTPIP1,11163214
ABL1,unknown,PSTPIP1,11163214
PTPN12,down-regulates-activity,PSTPIP1,11711533
RAN,up-regulates-activity,XPOT,9660920
TP53,down-regulates-quantity-by-repression,HR,15489903
SRC,up-regulates,SPRY2,15564375
DYRK1A,down-regulates,SPRY2,18678649
MKNK1,down-regulates,SPRY2,19864419
MKNK1,down-regulates,SPRY2,19864419
GDNF,down-regulates-quantity-by-repression,DCX,15212950
GSK3B,up-regulates-activity,DCX,21159948
FLT3,down-regulates-activity,FOXO3,14981546
SPX,up-regulates-activity,GALR2,24517231
PTPN11,down-regulates,SPRY1,16481357
HCRT,up-regulates,HCRTR1,9491897
CNR1,up-regulates-activity,HCRTR1,29751001
PER2,down-regulates-quantity-by-repression,SNAI2,23836662
NCOR1,down-regulates-quantity-by-repression,SNAI2,18588516
TNF,up-regulates-quantity-by-expression,SNAI2,20509143
ESR1,down-regulates-quantity-by-repression,SNAI2,18588516
ESRRA,down-regulates-quantity-by-repression,SNAI2,15955695
POU2F1,up-regulates-quantity-by-expression,SNAI2,23836662
CREB1,down-regulates-quantity-by-repression,SNAI2,15955695
MTA1,up-regulates-quantity-by-expression,SNAI2,18719363
HDAC1,down-regulates-quantity-by-repression,SNAI2,18588516
RUNX2,up-regulates-quantity-by-expression,SNAI2,22641097
SUZ12,down-regulates-quantity-by-repression,SNAI2,23836662
TWIST1,up-regulates-quantity-by-expression,SNAI2,20646316
EZH2,down-regulates-quantity-by-repression,SNAI2,23836662
HDAC2,down-regulates-quantity-by-repression,SNAI2,23836662
ZMYND8,down-regulates-quantity-by-repression,SNAI2,27477906
VPS4A,up-regulates-activity,CHMP2A,30989108
PDGFRB,up-regulates,NCK2,10026169
NTRK2,up-regulates,NCK2,12074588
KIF4A,up-regulates-activity,PRC1,15297875
PRKACA,down-regulates-activity,RGS10,11443111
CDK1,up-regulates,BUB1,16760428
ATM,up-regulates,BUB1,22099307
KNL1,up-regulates,BUB1,17981135
BUB1,up-regulates-activity,BUB3,11402067
PTK2,down-regulates,ACTN4,23454549
PTK2,up-regulates,ACTN4,23454549
PTK2,down-regulates,ACTN4,23454549
IKBKE,up-regulates-activity,TRAF3IP2,21822257
MASTL,up-regulates-activity,ENSA,21164014
PPARD,up-regulates-quantity-by-expression,SLC25A20,19577614
PPARA,up-regulates-quantity-by-expression,SLC25A20,19577614
CTTNBP2NL,up-regulates-activity,STRN,23015759
TP53,up-regulates-quantity-by-expression,SCO2,27692180
ZBTB14,up-regulates-activity,ZBTB14,10080939
PDPK1,down-regulates-activity,AHCYL1,17635105
PPP1CC,unknown,AHCYL1,17635105
CSNK1A1,unknown,AHCYL1,17635105
PPP1CA,unknown,AHCYL1,17635105
PPP1CB,unknown,AHCYL1,17635105
HCFC1,up-regulates-activity,CREB3,9658067
CSNK2A2,unknown,KIF1C,10559254
CSNK2A1,unknown,KIF1C,10559254
BICDL1,up-regulates-activity,KIF1C,20360680
CASP3,up-regulates,GAS2,10564664
CD300LB,up-regulates-activity,TYROBP,20959446
DAXX,down-regulates-activity,AIRE,20185822
PEX6,up-regulates-activity,PEX1,12717447
CC2D1A,up-regulates-activity,RAD21,20171170
STAG2,up-regulates-quantity-by-stabilization,RAD21,28430577
PRSS21,up-regulates,RAD21,11875078
MAPK6,up-regulates-activity,KALRN,22508986
MAPKAPK5,up-regulates-activity,KALRN,22508986
GPKOW,up-regulates-quantity,DHX16,25296192
GPKOW,up-regulates-quantity,DHX16,25296192
MAPK9,unknown,SH3BP5,15158451
MAPK12,unknown,SH3BP5,15158451
MAPK12,unknown,SH3BP5,15158451
PRKACA,down-regulates-activity,PLIN1,11751901
PRKACA,down-regulates-activity,PLIN1,11751901
PRKACA,down-regulates-activity,PLIN1,11751901
ABL1,down-regulates,PRKN,20823226
UBC,up-regulates-activity,PRKN,26161729
CDK5,down-regulates,PRKN,17327227
PINK1,up-regulates,PRKN,22724072
PINK1,up-regulates-activity,PRKN,22724072
BAG5,down-regulates-activity,PRKN,15603737
NF1,up-regulates,ADCY3,24431436
CAMK2G,down-regulates-activity,ADCY3,8798667
CDON,up-regulates-activity,SPAG9,18678706
MAPK10,down-regulates-activity,KIF5C,19525941
HAP1,up-regulates-activity,KIF5C,31757889
GRIP1,up-regulates-activity,KIF5C,31757889
AKT1,up-regulates,NUAK1,12409306
STK11,up-regulates,NUAK1,14976552
KIF5C,up-regulates-activity,TRAK2,24161670
STOML2,up-regulates-quantity-by-expression,OPA1,20359165
CBX4,down-regulates-quantity-by-destabilization,ZEB2,16061479
CBX4,down-regulates-quantity-by-destabilization,ZEB2,16061479
CBX4,down-regulates-activity,ZEB2,16061479
CTBP1,up-regulates-activity,ZEB2,16061479
CDK2,up-regulates-activity,MCM3AP,11526238
PCDHA2,up-regulates-activity,PCDHGA12,16697637
PCDHA10,up-regulates-activity,PCDHGA12,16697637
SRC,up-regulates,PIP5K1C,15738269
CDK5,down-regulates,PIP5K1C,15738269
GTF2I,up-regulates-activity,KDM1A,12493763
GTF2I,up-regulates-activity,KDM1A,21282467
ASXL3,down-regulates-activity,KDM1A,25450400
KDM4C,up-regulates-activity,KDM1A,29207681
BRMS1,up-regulates-activity,KDM1A,30416854
RCOR1,up-regulates-activity,KDM1A,16140033
AKT1,down-regulates,TBC1D4,12637568
AKT1,unknown,TBC1D4,16880201
GSK3B,down-regulates,PHLPP1,19797085
WNT11,up-regulates-activity,FZD6,16273260
WNT1,up-regulates-activity,FZD6,22944199
WNT5A,up-regulates-activity,FZD6,16273260
WNT5B,up-regulates,FZD6,16273260
ZNRF3,down-regulates-quantity,FZD6,22575959
MAPK11,up-regulates,HBP1,14612426
MAPK14,up-regulates,HBP1,14612426
VEGFC,up-regulates,NRP2,16816121
SEMA3B,up-regulates-activity,NRP2,25335892
SEMA3F,up-regulates,NRP2,16816121
SEMA3C,up-regulates,NRP2,16816121
IPO5,up-regulates-activity,DSCAM,30745319
NTN1,up-regulates-activity,DSCAM,18585357
PRKCA,down-regulates-activity,DLX3,11343707
PRKCA,unknown,DLX3,11343707
PRKCA,up-regulates-activity,DLX3,11343707
SEMA7A,up-regulates,PLXNC1,10520995
PTPRG,up-regulates-activity,DOK2,25624455
PRKCA,up-regulates-activity,NPHS1,21321125
PRKCA,up-regulates-activity,NPHS1,21321125
WT1,up-regulates-quantity-by-expression,NPHS1,15504938
AGTR1,down-regulates-activity,NPHS1,21982880
NF1,up-regulates,ADCY9,24431436
MAPK1,unknown,SORBS3,15184391
MAPK1,unknown,SORBS3,15184391
FGFR1,down-regulates,SYNCRIP,12601080
MAML1,up-regulates,CCNT1,15546612
CDK1,up-regulates,BUB1B,17785528
PLK1,up-regulates,BUB1B,23079597
PLK1,up-regulates,BUB1B,17785528
PLK1,up-regulates,BUB1B,17376779
PLK1,up-regulates,BUB1B,17376779
CENPE,up-regulates-activity,BUB1B,12925705
CENPE,up-regulates-activity,BUB1B,12925705
CDK5RAP2,up-regulates-quantity-by-expression,BUB1B,19282672
PRKD1,up-regulates,TLR5,17442957
BGLF5,down-regulates-quantity-by-repression,TLR2,26428381
S,up-regulates-activity,TLR2,19185596
ARTN,up-regulates,GFRA3,9883723
RHOA,up-regulates-activity,DIAPH1,22820501
HNF1A,up-regulates-quantity-by-expression,UGT1A9,15044625
CHKA,down-regulates-quantity-by-destabilization,PLIN3,34929314
RAB9A,up-regulates-activity,PLIN3,18195106
SOCS3,down-regulates-activity,JAK2,24600449
SOCS1,down-regulates-quantity-by-destabilization,JAK2,14522994
JAK2,down-regulates-activity,JAK2,21841788
JAK2,down-regulates,JAK2,19364823
JAK2,down-regulates-activity,JAK2,15143187
JAK2,unknown,JAK2,9111318
JAK2,up-regulates-activity,JAK2,17027227
JAK2,up-regulates-activity,JAK2,19364823
JAK2,up-regulates-activity,JAK2,15143187
JAK2,down-regulates-activity,JAK2,21841788
JAK2,up-regulates-activity,JAK2,20304997
JAK2,up-regulates-activity,JAK2,15121872
JAK2,up-regulates,JAK2,20304997
JAK2,up-regulates-activity,JAK2,9111318
JAK2,up-regulates,JAK2,15143187
ABL1,up-regulates-activity,JAK2,11593427
EGFR,up-regulates-activity,JAK2,15284024
APOA1,up-regulates-activity,JAK2,14668333
PTPRC,down-regulates-activity,JAK2,24252238
PTPRC,down-regulates-activity,JAK2,11201744
PTPRC,down-regulates-activity,JAK2,11201744
KIT,up-regulates-activity,JAK2,15526160
IFNGR1,up-regulates-activity,JAK2,23898330
CDON,up-regulates-activity,SPAG9,17074887
IFNGR1,up-regulates,JAK2,15864272
IFNGR1,up-regulates,JAK2,17063185
CSF2RA,up-regulates-activity,JAK2,8977526
CSF2RA,up-regulates,JAK2,9028317
PTPN1,down-regulates-activity,JAK2,11970898
PTPN1,down-regulates,JAK2,15821101
PTPN1,down-regulates-activity,JAK2,11970898
PTPN1,down-regulates,JAK2,15821101
PTPRG,down-regulates-activity,JAK2,25624455
PTPRG,down-regulates-activity,JAK2,25624455
IL4R,up-regulates-activity,JAK2,18852293
IL3RA,up-regulates,JAK2,15795318
MAPK3,down-regulates,JAK2,16705159
MAPK1,down-regulates,JAK2,16705159
PTPN6,down-regulates-activity,JAK2,8943354
IFNGR2,up-regulates-activity,JAK2,23898330
IL6ST,up-regulates-activity,JAK2,9716487
PHF21A,down-regulates-activity,KDM1A,16140033
IL6ST,up-regulates-activity,JAK2,9716487
LEPR,up-regulates-activity,JAK2,18718905
IL5RA,up-regulates-activity,JAK2,7602114
PTPN12,down-regulates,JAK2,11731619
PTPN12,down-regulates-activity,JAK2,11731619
PTPN11,up-regulates-quantity-by-stabilization,JAK2,14522994
IL10RA,up-regulates-activity,JAK2,26260587
IL23R,up-regulates,JAK2,12023369
DAB2IP,down-regulates-activity,JAK2,27858941
NIN,down-regulates,JAK2,25332239
IL31RA,up-regulates,JAK2,18926762
SH2B1,up-regulates-activity,JAK2,27154742
SH2B3,down-regulates-activity,JAK2,18618018
ATF4,up-regulates-quantity-by-expression,NUPR1,19946894
HOXD12,down-regulates-activity,MAFK,11036080
PRRX1,down-regulates-activity,MAFK,11036080
F2RL1,down-regulates-quantity-by-repression,MSC,21072196
LYN,up-regulates-activity,LPXN,17640867
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
SRC,up-regulates-activity,CTNND1,11382764
PRKACA,down-regulates,CTNND1,22798526
CSNK1E,down-regulates,CTNND1,3133391
GSK3B,unknown,CTNND1,12885254
PRKCE,down-regulates,CTNND1,23542175
PRKCE,down-regulates,CTNND1,21251911
SPX,up-regulates-activity,GALR3,24517231
RAB1A,up-regulates-activity,USO1,10903204
CSNK2B,up-regulates-activity,USO1,10931861
SLBP,up-regulates-quantity-by-expression,H2BC12,19155325
PRKCA,up-regulates-activity,PFKFB2,1322130
RPS6KB1,up-regulates-activity,PFKFB2,2846551
RPS6KB1,up-regulates-activity,PFKFB2,9211863
AKT1,up-regulates-activity,PFKFB2,10521487
AKT1,unknown,PFKFB2,12853467
AKT1,up-regulates-activity,PFKFB2,12853467
AKT1,up-regulates-activity,PFKFB2,23457334
KNL1,up-regulates,BUB1B,17981135
AKT1,unknown,PFKFB2,12853467
AKT1,up-regulates-activity,PFKFB2,12853467
RPS6KA3,up-regulates-activity,PFKFB2,9211863
RPS6KA3,up-regulates-activity,PFKFB2,2846551
PRKAA2,up-regulates-activity,PFKFB2,11069105
PRKAA1,up-regulates-activity,PFKFB2,11069105
PRKAA1,up-regulates-activity,PFKFB2,11069105
HIPK1,up-regulates-activity,PAGE4,24559171
PRKCA,down-regulates-activity,EDF1,10816571
AURKB,up-regulates,DIAPH2,21397845
MYC,down-regulates-activity,BRD4,32482868
H4C1,up-regulates-activity,BRD4,27991587
ATAD5,up-regulates,BRD4,31875566
ASXL3,up-regulates-activity,BRD4,32669118
NR1D1,up-regulates-activity,OPHN1,35267019
PRKCA,down-regulates,KCNJ13,18976636
PRKACA,up-regulates,KCNJ13,18976636
RPA2,up-regulates,NBN,19586055
PTPRC,down-regulates-activity,JAK2,11201744
H2AX,up-regulates,NBN,15635255
MRE11,up-regulates,NBN,17713585
ATM,up-regulates,NBN,10839545
ATM,up-regulates,NBN,10839545
ATM,up-regulates,NBN,10608806
ATM,up-regulates,NBN,10802669
ATM,up-regulates,NBN,10839544
TCOF1,up-regulates-activity,NBN,25064736
ATR,up-regulates,NBN,17526493
MDC1,up-regulates,NBN,19230643
CSNK2A2,up-regulates-activity,NOL3,12191471
CSNK2A1,up-regulates-activity,NOL3,12191471
ZNF140,down-regulates-quantity-by-repression,FCGR3B,11470777
ZNF91,down-regulates-quantity-by-repression,FCGR3B,11470777
CREB1,up-regulates-quantity-by-expression,MITF,10841026
POU3F2,up-regulates-quantity-by-expression,MITF,18628967
MAPK3,down-regulates-quantity-by-destabilization,MITF,10841026
MAPK1,down-regulates,MITF,10673502
SOX9,up-regulates-activity,MITF,20530484
GSK3A,up-regulates,MITF,10587587
UBE2I,down-regulates,MITF,10673502
RPS6KA1,down-regulates,MITF,21749389
RPS6KA1,down-regulates,MITF,10673502
SEMA3B,up-regulates-activity,PLXNA2,25335892
GATA6,up-regulates-quantity-by-expression,PLXNA2,19666519
SEMA3C,up-regulates-activity,PLXNA2,19666519
WNT7A,up-regulates-activity,FZD7,22944199
PTPN12,down-regulates-activity,JAK2,11731619
